po_number,supplier_id,supplier_name,material_category,po_date,expected_delivery,item_code,quantity,status,goods_receipt_date
PO00252,SUP0044,Brown-Stone,Raw Materials,2026-01-14,2026-04-14,ITEM7524,4548,on_track,
PO00253,SUP0075,"Conner, Li and Santiago",Weaving,2025-12-04,2026-04-07,ITEM4131,2443,amber,
PO00254,SUP0034,Christensen PLC,Finishing,2026-01-03,2026-03-12,ITEM6438,2338,red,
PO00255,SUP0077,Rhodes-Young,Raw Materials,2026-03-04,2026-04-22,ITEM7553,3702,on_track,
PO00256,SUP0120,Oconnor LLC,Cutting,2025-12-27,2026-04-18,ITEM9129,4175,amber,
PO00257,SUP0143,Thomas-Chen,Sewing,2025-12-31,2026-05-11,ITEM5369,776,on_track,
PO00258,SUP0140,Cunningham-Barton,Finishing,2025-12-17,2026-03-16,ITEM8055,1578,red,
PO00259,SUP0093,Miller Ltd,Cutting,2025-11-16,2026-04-12,ITEM2680,755,amber,
PO00260,SUP0059,Garrison-Thomas,Raw Materials,2026-01-11,2026-05-29,ITEM5843,2610,on_track,
PO00261,SUP0056,"Ortiz, Taylor and Shah",Sewing,2025-12-11,2026-05-22,ITEM7981,1465,on_track,
PO00262,SUP0091,Day-Cole,Cutting,2025-10-10,2026-05-01,ITEM6759,3762,on_track,
PO00263,SUP0117,Adams Ltd,Cutting,2026-03-25,2026-04-20,ITEM8126,2349,on_track,
PO00264,SUP0020,"Rodriguez, Brennan and Garrison",Weaving,2025-10-23,2026-03-13,ITEM2229,3427,red,
PO00265,SUP0175,May Group,Weaving,2026-01-01,2026-05-10,ITEM3621,355,on_track,
PO00266,SUP0062,"Wilson, Pena and Rich",Sewing,2026-02-27,2026-05-22,ITEM8179,385,on_track,
PO00267,SUP0165,White-Flores,Cutting,2026-03-03,2026-03-14,ITEM4866,3100,red,
PO00268,SUP0037,Phillips LLC,Weaving,2026-01-02,2026-04-24,ITEM1530,1356,on_track,
PO00269,SUP0099,Long PLC,Raw Materials,2025-10-13,2026-05-02,ITEM7077,3147,on_track,
PO00270,SUP0127,"Peters, Russell and Johnson",Finishing,2025-12-12,2026-03-15,ITEM3255,4437,red,
PO00271,SUP0076,Phillips Inc,Weaving,2026-01-01,2026-04-25,ITEM5566,2144,on_track,
PO00272,SUP0118,Arnold LLC,Finishing,2026-03-06,2026-03-09,ITEM4048,4188,red,
PO00273,SUP0023,"Adkins, Thompson and Carroll",Cutting,2025-11-23,2026-04-24,ITEM2929,2244,on_track,
PO00274,SUP0090,Johnson-Spencer,Weaving,2026-01-28,2026-06-04,ITEM8311,1857,on_track,
PO00275,SUP0165,White-Flores,Cutting,2025-10-30,2026-04-11,ITEM9047,1739,on_track,
PO00276,SUP0007,"Le, Maldonado and Herrera",Cutting,2026-03-04,2026-03-23,ITEM2213,3803,red,
PO00277,SUP0190,Smith-Ferguson,Cutting,2026-02-19,2026-05-01,ITEM2438,2718,on_track,
PO00278,SUP0085,Preston-Paul,Finishing,2025-10-16,2026-04-19,ITEM2063,4605,on_track,
PO00279,SUP0091,Day-Cole,Cutting,2025-11-17,2026-04-12,ITEM3580,1526,amber,
PO00280,SUP0176,"Gutierrez, Avila and Perez",Finishing,2026-01-02,2026-05-10,ITEM4673,1094,on_track,
PO00281,SUP0028,Stein-Silva,Sewing,2026-02-12,2026-03-23,ITEM4878,4147,red,
PO00282,SUP0033,Hamilton LLC,Raw Materials,2026-03-29,2026-04-21,ITEM7044,3928,on_track,
PO00283,SUP0118,Arnold LLC,Finishing,2025-11-14,2026-03-22,ITEM2412,638,red,
PO00284,SUP0195,Herring PLC,Cutting,2026-01-15,2026-04-25,ITEM8842,4406,on_track,
PO00285,SUP0102,Barr-Peterson,Sewing,2025-12-20,2026-04-27,ITEM2208,1126,on_track,
PO00286,SUP0019,"Garcia, Deleon and Henson",Raw Materials,2026-01-13,2026-05-27,ITEM2215,3786,on_track,
PO00287,SUP0036,"Pierce, Bell and Chavez",Raw Materials,2025-12-06,2026-06-01,ITEM9476,2922,on_track,
PO00288,SUP0003,"Martinez, Nielsen and Miller",Finishing,2026-03-03,2026-05-15,ITEM3981,1157,on_track,
PO00289,SUP0006,"Ross, Robinson and Bright",Finishing,2025-12-15,2026-05-09,ITEM1907,1117,on_track,
PO00290,SUP0094,Washington-Harris,Weaving,2025-11-23,2026-03-25,ITEM5982,1448,red,
PO00291,SUP0115,"Fry, Hobbs and Buck",Cutting,2026-02-22,2026-04-16,ITEM4694,2934,on_track,
PO00292,SUP0172,Lynn-Jones,Finishing,2025-11-23,2026-04-11,ITEM5105,1708,amber,
PO00293,SUP0066,Peterson-Wood,Weaving,2025-10-24,2026-05-15,ITEM5496,1125,on_track,
PO00294,SUP0071,"Wolf, Cole and Glass",Finishing,2025-10-26,2026-04-13,ITEM9740,865,on_track,
PO00295,SUP0093,Miller Ltd,Cutting,2025-11-27,2026-05-27,ITEM3762,4948,on_track,
PO00296,SUP0070,"Morgan, Cook and Jackson",Weaving,2025-11-07,2026-03-25,ITEM3804,2865,red,
PO00297,SUP0039,Kerr-Evans,Weaving,2025-11-11,2026-03-11,ITEM1464,765,red,
PO00298,SUP0081,Young-Martinez,Raw Materials,2026-03-24,2026-05-27,ITEM5336,1826,on_track,
PO00299,SUP0172,Lynn-Jones,Finishing,2025-11-09,2026-04-28,ITEM1496,4179,on_track,
PO00300,SUP0107,Doyle LLC,Sewing,2025-10-26,2026-05-14,ITEM5745,2574,on_track,
PO00301,SUP0005,Underwood LLC,Finishing,2025-12-02,2026-04-06,ITEM7653,2536,on_track,
PO00302,SUP0084,"Parsons, Ellis and Carter",Weaving,2025-12-09,2026-03-15,ITEM1981,1394,red,
PO00303,SUP0199,"Barber, Olson and Alvarado",Weaving,2025-12-13,2026-04-28,ITEM8933,3904,on_track,
PO00304,SUP0195,Herring PLC,Cutting,2026-02-11,2026-04-18,ITEM3353,2660,on_track,
PO00305,SUP0184,Franklin-Hahn,Finishing,2026-01-13,2026-04-19,ITEM3142,3135,on_track,
PO00306,SUP0047,Cantu-Kane,Weaving,2025-11-24,2026-05-16,ITEM2739,2714,on_track,
PO00307,SUP0088,Edwards-Ramirez,Cutting,2026-02-02,2026-05-04,ITEM3007,2291,on_track,
PO00308,SUP0081,Young-Martinez,Raw Materials,2025-12-10,2026-04-06,ITEM2586,514,amber,
PO00309,SUP0162,Watson-Mccoy,Sewing,2026-01-20,2026-04-24,ITEM7850,2133,on_track,
PO00310,SUP0028,Stein-Silva,Sewing,2026-02-23,2026-04-16,ITEM6123,1655,on_track,
PO00311,SUP0022,Williams-Graham,Raw Materials,2026-02-23,2026-05-08,ITEM9433,3924,on_track,
PO00312,SUP0156,Brock Inc,Sewing,2025-11-28,2026-04-14,ITEM1379,837,amber,
PO00313,SUP0075,"Conner, Li and Santiago",Weaving,2025-12-25,2026-05-09,ITEM8491,2072,on_track,
PO00314,SUP0177,Thompson-Joyce,Raw Materials,2026-02-08,2026-05-19,ITEM6781,498,on_track,
PO00315,SUP0130,Bennett-Velasquez,Finishing,2026-03-23,2026-04-11,ITEM8710,2440,amber,
PO00316,SUP0042,Hayden PLC,Cutting,2025-11-18,2026-03-07,ITEM2761,3630,red,
PO00317,SUP0063,Davis-Rodgers,Sewing,2026-03-01,2026-04-08,ITEM6992,3403,on_track,
PO00318,SUP0018,Jones Ltd,Cutting,2026-01-01,2026-03-11,ITEM7563,519,red,
PO00319,SUP0077,Rhodes-Young,Raw Materials,2025-11-10,2026-05-16,ITEM4189,3069,on_track,
PO00320,SUP0020,"Rodriguez, Brennan and Garrison",Weaving,2025-11-14,2026-04-11,ITEM7329,4230,amber,
PO00321,SUP0053,"Davis, Burton and Williams",Cutting,2025-12-10,2026-05-15,ITEM5582,1073,on_track,
PO00322,SUP0184,Franklin-Hahn,Finishing,2026-03-03,2026-03-18,ITEM7453,3157,red,
PO00323,SUP0168,Johnson PLC,Sewing,2026-01-08,2026-05-16,ITEM6990,1281,on_track,
PO00324,SUP0126,Marquez Inc,Raw Materials,2026-02-13,2026-05-22,ITEM9341,3388,on_track,
PO00325,SUP0151,Livingston Group,Finishing,2025-11-27,2026-03-11,ITEM1742,418,red,
PO00326,SUP0145,Noble and Sons,Cutting,2026-02-28,2026-04-17,ITEM9508,3843,on_track,
PO00327,SUP0049,"Higgins, Malone and Brennan",Raw Materials,2026-02-25,2026-05-22,ITEM9446,1245,on_track,
PO00328,SUP0123,Gray-Tran,Finishing,2026-01-11,2026-05-23,ITEM6218,1431,on_track,
PO00329,SUP0158,Vasquez-Brown,Finishing,2025-12-25,2026-05-23,ITEM5902,4963,on_track,
PO00330,SUP0068,Murphy-Smith,Sewing,2026-01-08,2026-05-09,ITEM9351,4460,on_track,
PO00331,SUP0024,"Beck, Harvey and Davis",Finishing,2025-11-30,2026-06-04,ITEM5911,3990,on_track,
PO00332,SUP0112,Bennett-Vega,Finishing,2026-03-31,2026-04-22,ITEM2795,3512,on_track,
PO00333,SUP0110,"Leach, Harris and Herrera",Sewing,2025-11-06,2026-04-14,ITEM1436,4989,on_track,
PO00334,SUP0091,Day-Cole,Cutting,2025-12-04,2026-04-08,ITEM4728,520,on_track,
PO00335,SUP0198,"Hobbs, Acosta and Snow",Cutting,2025-11-06,2026-05-06,ITEM3793,4394,on_track,
PO00336,SUP0080,Mitchell Group,Cutting,2025-10-25,2026-05-24,ITEM7229,1310,on_track,
PO00337,SUP0127,"Peters, Russell and Johnson",Finishing,2025-10-12,2026-04-06,ITEM2800,1662,amber,
PO00338,SUP0187,"Lam, Pena and Walker",Cutting,2026-03-31,2026-05-01,ITEM6139,3530,on_track,
PO00339,SUP0154,Dixon-Brown,Sewing,2026-02-25,2026-04-27,ITEM4340,3461,on_track,
PO00340,SUP0092,Gonzalez-Huber,Raw Materials,2025-11-27,2026-05-23,ITEM8726,610,on_track,
PO00341,SUP0064,Lane and Sons,Finishing,2026-02-28,2026-05-11,ITEM4397,4694,on_track,
PO00342,SUP0141,"Greer, Potter and Evans",Sewing,2026-01-11,2026-05-29,ITEM8837,4404,on_track,
PO00343,SUP0079,Velasquez LLC,Cutting,2025-12-29,2026-04-15,ITEM8531,4467,amber,
PO00344,SUP0143,Thomas-Chen,Sewing,2026-01-07,2026-05-14,ITEM6804,2265,on_track,
PO00345,SUP0139,"Wagner, Simpson and Cohen",Raw Materials,2025-10-30,2026-05-06,ITEM4150,2119,on_track,
PO00346,SUP0041,Martin LLC,Raw Materials,2026-01-23,2026-05-16,ITEM5890,1942,on_track,
PO00347,SUP0152,"Murphy, Willis and Hines",Finishing,2026-01-18,2026-04-11,ITEM4396,4105,on_track,
PO00348,SUP0181,Figueroa-Malone,Sewing,2026-01-13,2026-05-06,ITEM6714,4691,on_track,
PO00349,SUP0128,Adams-Thomas,Sewing,2026-01-24,2026-04-11,ITEM9899,3210,amber,
PO00350,SUP0008,"Ashley, Nielsen and Sellers",Sewing,2025-12-24,2026-04-19,ITEM5758,444,amber,
PO00351,SUP0142,"Bell, Campbell and Ryan",Sewing,2026-01-21,2026-03-16,ITEM6674,3723,red,
PO00352,SUP0195,Herring PLC,Cutting,2025-10-19,2026-04-07,ITEM8849,1852,on_track,
PO00353,SUP0171,"Smith, Cruz and Oconnor",Raw Materials,2026-02-12,2026-05-13,ITEM5442,4704,on_track,
PO00354,SUP0031,"Hernandez, Martinez and Caldwell",Sewing,2025-10-08,2026-04-09,ITEM2789,4907,amber,
PO00355,SUP0025,Ross-Hernandez,Sewing,2026-02-02,2026-04-06,ITEM9700,1948,amber,
PO00356,SUP0052,James LLC,Raw Materials,2025-10-23,2026-04-04,ITEM1860,920,red,
PO00357,SUP0089,Roach Group,Finishing,2025-12-20,2026-04-17,ITEM8739,923,on_track,
PO00358,SUP0016,"Baker, Mahoney and Ibarra",Raw Materials,2025-10-12,2026-03-23,ITEM1084,4608,red,
PO00359,SUP0004,"Flowers, Martin and Kelly",Raw Materials,2026-02-23,2026-04-27,ITEM8793,4011,on_track,
PO00360,SUP0050,Jordan-Sanchez,Raw Materials,2025-10-20,2026-03-31,ITEM5706,2731,red,
PO00361,SUP0008,"Ashley, Nielsen and Sellers",Sewing,2026-01-21,2026-05-27,ITEM1969,832,on_track,
PO00362,SUP0067,Nelson-Fischer,Sewing,2025-10-20,2026-05-18,ITEM4804,4483,on_track,
PO00363,SUP0141,"Greer, Potter and Evans",Sewing,2026-03-26,2026-03-28,ITEM7846,1540,red,
PO00364,SUP0108,Finley-Turner,Cutting,2026-03-26,2026-04-25,ITEM4052,2471,on_track,
PO00365,SUP0085,Preston-Paul,Finishing,2026-03-26,2026-03-07,ITEM5888,4752,red,
PO00366,SUP0077,Rhodes-Young,Raw Materials,2025-11-01,2026-03-19,ITEM6489,2431,red,
PO00367,SUP0185,"Rodriguez, Brown and Mcneil",Raw Materials,2025-12-09,2026-05-27,ITEM9901,4395,on_track,
PO00368,SUP0012,Ramirez and Sons,Raw Materials,2025-11-29,2026-03-23,ITEM9261,3934,red,
PO00369,SUP0110,"Leach, Harris and Herrera",Sewing,2026-01-25,2026-03-30,ITEM2845,2808,red,
PO00370,SUP0156,Brock Inc,Sewing,2026-02-22,2026-05-03,ITEM5215,1625,on_track,
PO00371,SUP0158,Vasquez-Brown,Finishing,2026-04-01,2026-04-18,ITEM4164,1537,on_track,
PO00372,SUP0157,"Bonilla, Cuevas and Parsons",Sewing,2025-10-30,2026-05-26,ITEM7643,3603,on_track,
PO00373,SUP0156,Brock Inc,Sewing,2025-11-24,2026-04-16,ITEM7567,881,amber,
PO00374,SUP0127,"Peters, Russell and Johnson",Finishing,2026-02-16,2026-03-23,ITEM8822,2750,red,
PO00375,SUP0097,"Diaz, Powell and Williams",Weaving,2026-01-31,2026-03-06,ITEM5272,3242,red,
PO00376,SUP0021,Wiley LLC,Finishing,2026-02-03,2026-05-02,ITEM5374,2800,on_track,
PO00377,SUP0031,"Hernandez, Martinez and Caldwell",Sewing,2026-01-17,2026-05-19,ITEM1187,2242,on_track,
PO00378,SUP0076,Phillips Inc,Weaving,2025-10-19,2026-04-21,ITEM4871,608,on_track,
PO00379,SUP0066,Peterson-Wood,Weaving,2025-10-16,2026-03-21,ITEM8625,2613,red,
PO00380,SUP0130,Bennett-Velasquez,Finishing,2026-02-23,2026-04-26,ITEM9233,2647,on_track,
PO00381,SUP0060,West-Cox,Raw Materials,2025-10-10,2026-03-21,ITEM5833,3110,red,
PO00382,SUP0050,Jordan-Sanchez,Raw Materials,2025-10-29,2026-04-03,ITEM4590,1194,red,
PO00383,SUP0118,Arnold LLC,Finishing,2025-12-03,2026-03-25,ITEM8454,3160,red,
PO00384,SUP0050,Jordan-Sanchez,Raw Materials,2025-12-19,2026-06-03,ITEM9998,3957,on_track,
PO00385,SUP0149,Hill Inc,Sewing,2025-11-18,2026-05-30,ITEM4578,2127,on_track,
PO00386,SUP0046,Weeks PLC,Finishing,2025-10-12,2026-05-21,ITEM2341,4404,on_track,
PO00387,SUP0177,Thompson-Joyce,Raw Materials,2025-12-11,2026-05-12,ITEM6927,739,on_track,
PO00388,SUP0130,Bennett-Velasquez,Finishing,2025-11-11,2026-03-20,ITEM2011,4586,red,
PO00389,SUP0067,Nelson-Fischer,Sewing,2025-11-26,2026-03-31,ITEM9792,1327,red,
PO00390,SUP0051,Little-Stevens,Weaving,2026-02-21,2026-04-16,ITEM8239,1052,on_track,
PO00391,SUP0123,Gray-Tran,Finishing,2025-10-12,2026-04-01,ITEM9008,844,red,
PO00392,SUP0034,Christensen PLC,Finishing,2025-11-25,2026-05-02,ITEM1911,3814,on_track,
PO00393,SUP0003,"Martinez, Nielsen and Miller",Finishing,2026-03-02,2026-05-10,ITEM7806,3842,on_track,
PO00394,SUP0189,"Hatfield, Edwards and Brown",Cutting,2025-11-11,2026-03-13,ITEM8575,2624,red,
PO00395,SUP0005,Underwood LLC,Finishing,2026-03-30,2026-04-25,ITEM1049,1885,on_track,
PO00396,SUP0030,Murphy-Gibson,Raw Materials,2025-11-07,2026-03-15,ITEM1742,3570,red,
PO00397,SUP0098,"Mcmillan, Fischer and Gonzalez",Finishing,2026-01-06,2026-06-03,ITEM2044,4533,on_track,
PO00398,SUP0099,Long PLC,Raw Materials,2026-03-20,2026-03-14,ITEM8734,359,red,
PO00399,SUP0102,Barr-Peterson,Sewing,2026-01-21,2026-04-27,ITEM3948,1209,on_track,
PO00400,SUP0080,Mitchell Group,Cutting,2025-10-22,2026-05-27,ITEM7887,3167,on_track,
